time,open,high,low,close,tick_volume,spread,real_volume
1420048800,0.81812,0.81913,0.81737,0.81769,2503,18,0
1420185600,0.81356,0.81445,0.81354,0.81414,1193,18,0
1420189200,0.81414,0.81414,0.81258,0.81381,2508,18,0
1420192800,0.81382,0.81448,0.81364,0.81426,2845,18,0
1420196400,0.81427,0.81451,0.81352,0.81413,2351,18,0
1420200000,0.81414,0.81422,0.81261,0.81302,2522,18,0
1420203600,0.813,0.81315,0.81149,0.81184,2284,18,0
1420207200,0.81184,0.81193,0.81071,0.81105,2099,18,0
1420210800,0.81106,0.81139,0.81052,0.81075,2172,18,0
1420214400,0.81075,0.81092,0.81012,0.81066,2255,18,0
1420218000,0.81086,0.8125,0.81083,0.81246,3659,18,0
1420221600,0.81244,0.81306,0.81143,0.81161,2647,18,0
1420225200,0.81161,0.81183,0.8107,0.81111,1897,18,0
1420228800,0.81111,0.8112,0.81057,0.81071,1289,18,0
1420232400,0.81073,0.81138,0.81049,0.81129,1447,18,0
1420236000,0.81131,0.81131,0.80906,0.8096,1840,18,0
1420239600,0.80959,0.8096,0.80764,0.80904,1331,18,0
1420416000,0.80697,0.80899,0.80617,0.80735,2365,18,0
1420419600,0.80734,0.80787,0.80515,0.80664,3705,18,0
1420423200,0.80675,0.81052,0.80674,0.8092,3597,18,0
1420426800,0.80919,0.81054,0.80752,0.80814,3000,18,0
1420430400,0.80815,0.80956,0.80702,0.80704,2134,18,0
1420434000,0.80704,0.80711,0.80532,0.80559,2971,18,0
1420437600,0.80558,0.80643,0.80524,0.80595,2370,18,0
1420441200,0.80597,0.80632,0.80344,0.80494,2711,18,0
1420444800,0.80494,0.80494,0.80383,0.80456,2302,18,0
1420448400,0.80456,0.80642,0.80442,0.80472,3307,18,0
1420452000,0.80474,0.80765,0.80468,0.80752,3267,18,0
1420455600,0.80752,0.80874,0.80706,0.80856,3130,18,0
1420459200,0.80855,0.8088,0.80627,0.80645,3530,18,0
1420462800,0.80646,0.80667,0.80555,0.80607,2915,18,0
1420466400,0.80606,0.80708,0.80557,0.80643,3541,18,0
1420470000,0.80642,0.80872,0.80618,0.80753,3911,18,0
1420473600,0.80753,0.80911,0.80731,0.80904,3928,18,0
1420477200,0.80904,0.80972,0.80789,0.80965,3867,18,0
1420480800,0.80963,0.81063,0.80904,0.80933,3385,18,0
1420484400,0.80932,0.80939,0.80843,0.80897,1977,18,0
1420488000,0.80895,0.80921,0.80833,0.80914,1724,18,0
1420491600,0.80913,0.80995,0.80882,0.80893,1744,18,0
1420495200,0.80897,0.80978,0.80862,0.80871,1455,18,0
1420498800,0.80872,0.80899,0.80811,0.80815,1120,18,0
1420502400,0.80816,0.80863,0.80796,0.80835,1051,18,0
1420506000,0.8084,0.81016,0.80826,0.80961,2307,18,0
1420509600,0.80963,0.81232,0.80854,0.8122,3134,18,0
1420513200,0.81222,0.81222,0.81056,0.81152,2883,18,0
1420516800,0.81154,0.81501,0.8115,0.81359,4256,18,0
1420520400,0.8136,0.81401,0.81279,0.81345,1911,18,0
1420524000,0.81348,0.81359,0.81225,0.8125,2791,18,0
1420527600,0.8125,0.81432,0.81244,0.81415,2434,18,0
1420531200,0.81414,0.81566,0.81387,0.81473,3032,18,0
1420534800,0.81473,0.81473,0.81247,0.81251,3628,18,0
1420538400,0.81251,0.81385,0.81146,0.81329,4588,18,0
1420542000,0.8133,0.81381,0.81278,0.81297,4166,18,0
1420545600,0.81297,0.81316,0.81229,0.81289,2918,18,0
1420549200,0.81289,0.81403,0.81258,0.81258,3196,18,0
1420552800,0.81257,0.81346,0.81197,0.81311,3132,18,0
1420556400,0.81307,0.8139,0.81228,0.81236,3725,18,0
1420560000,0.81236,0.81285,0.81008,0.81234,4396,18,0
1420563600,0.81229,0.81365,0.81105,0.81127,5527,18,0
1420567200,0.8113,0.81202,0.81025,0.81164,5281,18,0
1420570800,0.81164,0.81241,0.81028,0.81057,4343,18,0
1420574400,0.81059,0.81172,0.81059,0.81149,3159,18,0
1420578000,0.81149,0.81188,0.81065,0.8107,2485,18,0
1420581600,0.81076,0.81101,0.80914,0.80949,2570,18,0
1420585200,0.80949,0.80977,0.80826,0.80828,1662,18,0
1420588800,0.80823,0.80849,0.80658,0.80714,1888,18,0
1420592400,0.80715,0.80805,0.80715,0.80769,2084,18,0
1420596000,0.80769,0.80782,0.80542,0.80587,2922,18,0
1420599600,0.80591,0.8075,0.80557,0.80734,3165,18,0
1420603200,0.80734,0.80775,0.80637,0.8067,2403,18,0
1420606800,0.8067,0.80809,0.80631,0.80732,2173,18,0
1420610400,0.80733,0.80776,0.80707,0.80721,2326,18,0
1420614000,0.80722,0.80803,0.80643,0.80702,2389,18,0
1420617600,0.807,0.80733,0.80525,0.80627,2628,18,0
1420621200,0.80628,0.80764,0.8058,0.80705,3933,18,0
1420624800,0.80705,0.80768,0.80602,0.80672,4325,18,0
1420628400,0.80672,0.80803,0.80605,0.80605,3856,18,0
1420632000,0.80606,0.80716,0.80589,0.80686,4464,18,0
1420635600,0.80686,0.80775,0.80664,0.80689,3633,18,0
1420639200,0.80689,0.80799,0.80675,0.80722,3192,18,0
1420642800,0.80723,0.8073,0.80499,0.8054,4635,18,0
1420646400,0.8054,0.80548,0.80408,0.80458,4024,18,0
1420650000,0.80458,0.80545,0.80319,0.80385,4203,18,0
1420653600,0.80387,0.80502,0.80339,0.80477,3380,18,0
1420657200,0.80474,0.80553,0.80453,0.805,2363,18,0
1420660800,0.80503,0.80581,0.80501,0.80575,2056,18,0
1420664400,0.80562,0.80891,0.80348,0.80797,6041,18,0
1420668000,0.80798,0.80799,0.80649,0.80698,2591,18,0
1420671600,0.80698,0.80818,0.80671,0.8077,1480,18,0
1420675200,0.8077,0.80799,0.80698,0.80758,1092,18,0
1420678800,0.80748,0.80804,0.80706,0.80732,2019,18,0
1420682400,0.80737,0.81048,0.80737,0.80908,3627,18,0
1420686000,0.80908,0.81052,0.80906,0.80923,2850,18,0
1420689600,0.80923,0.80981,0.8084,0.80896,2308,18,0
1420693200,0.80896,0.81149,0.80847,0.81105,2836,18,0
1420696800,0.81104,0.81132,0.81023,0.81068,2073,18,0
1420700400,0.81071,0.8113,0.81022,0.81122,2309,18,0
1420704000,0.81121,0.81121,0.81023,0.81044,2462,18,0
1420707600,0.81043,0.81081,0.80914,0.8104,3578,18,0
1420711200,0.81039,0.81164,0.81026,0.81112,4517,18,0
1420714800,0.81111,0.81241,0.81098,0.811,3753,18,0
1420718400,0.811,0.81129,0.80928,0.80991,3383,18,0
1420722000,0.80991,0.81117,0.8099,0.81086,2699,18,0
1420725600,0.81086,0.81109,0.80979,0.81086,3139,18,0
1420729200,0.81087,0.81146,0.81003,0.81075,3308,18,0
1420732800,0.81074,0.81156,0.80925,0.81156,3376,18,0
1420736400,0.81156,0.81233,0.81071,0.81073,4378,18,0
1420740000,0.81075,0.81283,0.8107,0.81243,3335,18,0
1420743600,0.81242,0.81299,0.81225,0.81273,1837,18,0
1420747200,0.81273,0.81285,0.81154,0.81177,1410,18,0
1420750800,0.81178,0.81182,0.81033,0.8109,1711,18,0
1420754400,0.81096,0.81149,0.81075,0.81135,1451,18,0
1420758000,0.81135,0.81243,0.81114,0.81218,1413,18,0
1420761600,0.81214,0.81243,0.81092,0.81113,1524,18,0
1420765200,0.81115,0.81132,0.81061,0.81115,2354,18,0
1420768800,0.81115,0.81309,0.81041,0.81274,3332,18,0
1420772400,0.81278,0.81389,0.81267,0.81292,3520,18,0
1420776000,0.81293,0.81461,0.81293,0.81409,2555,18,0
1420779600,0.81409,0.8145,0.81347,0.81382,2058,18,0
1420783200,0.81383,0.81451,0.81358,0.81367,2403,18,0
1420786800,0.81367,0.81424,0.81338,0.81389,2903,18,0
1420790400,0.81389,0.81399,0.81226,0.81295,2421,18,0
1420794000,0.81297,0.81344,0.81201,0.81217,2965,18,0
1420797600,0.81218,0.81242,0.81152,0.8119,3574,18,0
1420801200,0.81191,0.81254,0.81128,0.81196,3967,18,0
1420804800,0.81195,0.81366,0.81188,0.81344,2951,18,0
1420808400,0.81345,0.81434,0.81332,0.81419,2792,18,0
1420812000,0.81417,0.81422,0.81352,0.81414,2409,18,0
1420815600,0.81415,0.81734,0.81224,0.81526,8309,18,0
1420819200,0.81528,0.81794,0.81517,0.81703,6357,18,0
1420822800,0.81702,0.81956,0.81701,0.81865,5980,18,0
